Date,Ball_Minimum temperature (°C),Ball_Maximum temperature (°C),Ball_Direction of maximum wind gust,Ball_Speed of maximum wind gust (km/h)
2021-07-14,6.6,9.6,NNE,54.0
2021-07-15,6.6,12.5,NNW,48.0
2021-07-16,6.6,10.9,N,46.0
2021-07-17,3.5,8.9,SW,48.0
2021-07-18,4.2,9.1,WSW,37.0
2021-07-19,4.3,9.7,NNW,37.0
2021-07-20,5.5,7.5,SSW,65.0
2021-07-21,1.0,8.9,WSW,31.0
2021-07-22,1.3,6.4,N,57.0
2021-07-23,3.6,7.1,N,56.0
2021-07-24,4.1,9.9,WNW,72.0
2021-07-25,1.3,8.6,WNW,50.0
2021-07-26,3.3,12.4,NNW,56.0
2021-07-27,5.3,13.5,N,70.0
2021-07-28,6.9,11.3,W,74.0
2021-07-29,1.7,10.8,N,43.0
2021-07-30,2.6,10.4,NNE,67.0
2021-07-31,5.2,13.8,NNE,63.0
2021-06-01,5.6,13.4,N,39.0
2021-06-02,5.3,15.9,NNE,33.0
2021-06-03,6.5,15.1,SSW,24.0
2021-06-04,6.3,10.1,SW,39.0
2021-06-05,-1.6,9.2,N,46.0
2021-06-06,2.7,13.4,NNW,43.0
2021-06-07,7.3,14.4,NNE,67.0
2021-06-08,6.4,9.1,SW,46.0
2021-06-09,4.6,10.3,S,80.0
2021-06-10,7.2,10.5,S,80.0
2021-06-11,4.6,14.2,SE,46.0
2021-06-12,5.6,12.0,WSW,33.0
2021-06-13,4.7,11.4,WSW,15.0
2021-06-14,5.4,12.1,N,28.0
2021-06-15,3.8,10.3,NE,46.0
2021-06-16,8.3,10.8,NNE,54.0
2021-06-17,4.9,9.8,N,26.0
2021-06-18,6.2,11.7,SSW,43.0
2021-06-19,6.5,12.0,SSE,39.0
2021-06-20,3.4,11.5,S,35.0
2021-06-21,-1.3,11.1,N,31.0
2021-06-22,0.6,10.1,NNE,52.0
2021-06-23,7.1,9.8,N,63.0
2021-06-24,7.1,10.7,NNE,57.0
2021-06-25,7.5,11.9,N,37.0
2021-06-26,6.1,9.2,WNW,37.0
2021-06-27,5.1,12.8,N,30.0
2021-06-28,-0.5,10.8,N,28.0
2021-06-29,0.6,12.6,N,48.0
2021-06-30,7.1,12.2,NNE,50.0
2021-05-01,7.7,20.4,N,41.0
2021-05-02,13.6,23.1,N,50.0
2021-05-03,6.1,14.9,WSW,59.0
2021-05-04,5.7,9.5,S,61.0
2021-05-05,4.7,14.9,SE,50.0
2021-05-06,7.2,20.7,SE,50.0
2021-05-07,5.6,19.8,NNW,24.0
2021-05-08,6.7,16.8,W,28.0
2021-05-09,3.4,17.1,WNW,37.0
2021-05-10,7.0,12.2,S,56.0
2021-05-11,6.4,11.2,SE,50.0
2021-05-12,6.5,16.7,ESE,54.0
2021-05-13,3.6,12.5,SW,39.0
2021-05-14,2.7,10.4,W,41.0
2021-05-15,3.8,10.4,WSW,59.0
2021-05-16,3.3,11.2,WNW,43.0
2021-05-17,7.2,13.4,WSW,33.0
2021-05-18,5.1,12.7,N,30.0
2021-05-19,3.4,13.0,N,37.0
2021-05-20,7.1,14.9,N,33.0
2021-05-21,-0.9,16.5,NNW,17.0
2021-05-22,-1.9,14.8,N,31.0
2021-05-23,1.7,16.9,NNE,33.0
2021-05-24,5.2,17.1,NNE,56.0
2021-05-25,10.6,14.6,N,80.0
2021-05-26,7.2,11.3,NNW,50.0
2021-05-27,3.2,12.2,WSW,43.0
2021-05-28,6.7,9.7,S,46.0
2021-05-29,4.4,11.0,SSE,48.0
2021-05-30,2.1,13.0,SE,37.0
2021-05-31,0.5,11.7,N,48.0
2021-04-01,7.9,26.7,ESE,26.0
2021-04-02,9.0,27.4,ESE,22.0
2021-04-03,11.5,28.2,N,43.0
2021-04-04,11.9,27.7,WNW,43.0
2021-04-05,10.2,18.8,SE,50.0
